id;name;title;description;sub_title;publisher;author;list_price;language;retail_price;image;page_count;average_rating;rating_count;info_link;web_reader_link;isbn;long_description;text_snippet
1;rem;Grau zugrunde;../fake-data/blob/hipster.txt;Schwarz labore Tonga;Hongkong spitze;Metallurgie paneelieren rege;ipsa Violett Ukraine;Platin;äquilibrieren;gleichwohl Grün;32355;2031;25982;Territorium nach Cyan;chaotisch;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;Frankreich Sachsen;trotzdem dementsprechend Israel;../fake-data/blob/hipster.txt;Technologie;saepe;Neptun weiterhin excepturi;Nepal;Beige aufseiten weiblich;quisquam anlässlich;wesentlich Dunkelbraun;6108;31838;8361;Mineral männlich männlich;Verstand unbestechlich in;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;inmitten Hessen;Kupfer;../fake-data/blob/hipster.txt;unten reiciendis Pescher;Erde Elektrizität;seitens Hunger;laborum kichern Eisblau;Physik Photon;assumenda;meistenteils seitwärts;25531;4347;15310;Kuwait Syrien männlich;weiblich halber;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;Rico rum;laudantium verschiedentlich Himmelblau;../fake-data/blob/hipster.txt;die;außer willensstark;Hessen Schwimmen Cyan;oftmals männlich;Orange Rubinrot;Hirzenberg;dummerweise erröten weiblich;31034;19588;13937;weiblich;oberhalb weiblich weiblich;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;elektrisieren Sport Anthrazit;Fettehenne;../fake-data/blob/hipster.txt;prunkvoll;Brücke;Kamel;wieselflink angesichts;enigmatisch Pocken;weiblich hüben eigenartigerweise;revitalisieren magisch;9037;4907;13984;Kongo Kenia unde;weiblich;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;molestiae zu;Blutrot Kanada weiblich;../fake-data/blob/hipster.txt;inklusive widerstandsfähig at;männlich anhand;Bremen Neuseeland;männlich Silber Saphirblau;Schneeweiß militarisieren weiblich;Violett;fixen Am;20443;779;13879;unweit weiblich Flabbenhäuschen;Hellbraun knuspern nutzbringend;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;zufolge;märchenhaft bedrohlich Hagel;../fake-data/blob/hipster.txt;neben Feuerrot reiciendis;Jadegrün iste earum;Hessen Bewusstsein allenfalls;Bordeauxrot;sunt Kupfer zuständigkeitshalber;Kastanienbraun nutzen;Bayern Rosenthal;12404;3341;4316;kraftvoll Jungferninseln;Kupfer männlich seitwärts;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;ironischerweise Hunger;Kastanienbraun See Politik;../fake-data/blob/hipster.txt;selbviert Kupfer Brandenburg;Zinnoberrot;eloquent;volley logischerweise;höflich anstatt Irak;männlich für consectetur;Drache Tee;9379;20632;19074;irre erstaunlich;männlich neque zündend;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;innerhalb Türkis Dunkelgrau;Slowenien Violett;../fake-data/blob/hipster.txt;Zum;facilis Feuerstein;beziehentlich Pink empor;Kühnsbusch Thüringen Hessen;Schaf;Sambia;Anthrazit Pink;10870;5613;11442;Jazz vermöge;quas iste;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;Brandenburg;Brandenburg Ahornweg;../fake-data/blob/hipster.txt;bequemlichkeitshalber;nachts ohne;repetieren Physik;Kastanienbraun molestias bestallen;mithilfe;Rot;Indigo Hamburg Silber;27680;8941;31291;Giftgrün Im Tag;tropfenweise Kupfer verdrecken;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
